iter	RMSE
0	696.2513223
1	681.2466024
2	665.7900463
3	651.2890915
4	638.6233466
5	625.0234773
6	613.4773714
7	602.1700682
8	591.2453594
9	581.1196097
10	571.0956104
11	561.7077606
12	552.4871692
13	543.4217061
14	535.3223181
15	527.6414963
16	520.5867888
17	513.4550847
18	506.8368516
19	499.1899677
20	493.5112278
21	487.4752832
22	481.078773
23	474.6511544
24	468.2367215
25	462.5718235
26	457.6592901
27	451.7723007
28	447.1180781
29	442.1028463
30	437.3087287
31	432.8864372
32	428.403485
33	425.1487472
34	420.8521027
35	417.1503388
36	413.8381132
37	409.8995427
38	407.0921638
39	403.8891134
40	400.7510039
41	398.0263491
42	395.5083279
43	392.7667228
44	389.781926
45	386.9256942
46	384.4224643
47	382.3968593
48	380.5127669
49	377.7764437
50	375.7085436
51	373.7148847
52	372.060359
53	369.3743294
54	367.5059502
55	365.6486062
56	363.1925442
57	361.7074136
58	359.7731884
59	358.5699906
60	357.2179452
61	355.830478
62	353.8894315
63	352.2347439
64	350.8491483
65	349.560187
66	348.3653989
67	346.8185605
68	345.2913041
69	344.2877376
70	343.2456965
71	341.9742735
72	340.9407092
73	339.8459227
74	338.9895276
75	337.9537138
76	336.5662882
77	335.3028647
78	334.4440406
79	333.359405
80	332.6587509
81	331.5777118
82	330.7123152
83	329.8600269
84	328.6305102
85	327.585339
86	326.7132514
87	325.7095258
88	324.9333701
89	323.9832315
90	323.3822175
91	322.7982893
92	321.7012658
93	320.9903699
94	320.3740582
95	319.6624089
96	319.0244366
97	318.2193395
98	317.6651172
99	316.950825
100	316.3802934
101	315.6443054
102	315.2711503
103	314.6442781
104	314.1885592
105	313.5564908
106	312.9862046
107	312.5193012
108	312.1552379
109	311.2592267
110	310.6576291
111	310.1537411
112	309.2633805
113	308.9723762
114	308.5008803
115	307.997751
116	307.441577
117	306.9232401
118	306.2895808
119	305.7694224
120	305.3851431
121	304.6296944
122	304.0572383
123	303.2683794
124	302.6596156
125	301.9172197
126	301.5056078
127	301.0278769
128	300.5646423
129	300.0994365
130	299.9687096
131	299.637249
132	299.4179772
133	298.9856895
134	298.6175134
135	298.0637123
136	297.6978767
137	297.1433903
138	296.218699
139	295.6019835
140	295.0363043
141	294.847019
142	294.348513
143	293.8854459
144	293.5104263
145	293.1222664
146	292.4916321
147	291.780879
148	291.3734397
149	290.8851281
150	290.6567727
151	290.1094639
152	289.7281286
153	289.3290772
154	288.9087161
155	288.6443303
156	288.4123038
157	287.8865544
158	287.7418916
159	287.3056395
160	287.0236268
161	286.5911098
162	286.3219298
163	286.1398204
164	285.9895386
165	285.5674251
166	285.1642168
167	284.7558006
168	284.5693056
169	284.2356349
170	283.751331
171	283.5930015
172	283.4386899
173	283.0057974
174	282.4537062
175	281.8960252
176	281.6777425
177	281.2326896
178	280.4360164
179	280.1078848
180	279.9554764
181	279.756263
182	279.3764391
183	278.8710724
184	278.6223993
185	278.4231973
186	278.1661592
187	277.9986612
188	277.8288105
189	277.6071143
190	277.3298506
191	277.1977255
192	276.6777896
193	276.5131803
194	276.3323156
195	276.0904786
196	275.6363868
197	275.2654395
198	274.7617369
199	274.4222266
200	274.2365713
201	273.6585341
202	273.2366607
203	273.0595344
204	272.8800825
205	272.5539074
206	272.3257928
207	272.1431231
208	271.8599866
209	271.6767287
210	271.4518575
211	271.0127677
212	270.8216026
213	270.3800596
214	270.2232624
215	269.8332944
216	269.6815971
217	269.3783253
218	268.6923942
219	268.5432548
220	268.1984954
221	268.0546086
222	267.8760194
223	267.5923652
224	267.4451652
225	267.0707619
226	266.9295999
227	266.5261137
228	266.3912919
229	266.0402563
230	265.5498214
231	265.2997899
232	265.1863594
233	265.0401049
234	264.5915331
235	264.3368203
236	264.0974151
237	263.9659502
238	263.8371476
239	263.6952958
240	263.266775
241	262.9392453
242	262.8185249
243	262.6996503
244	262.5983072
245	262.1270968
246	261.7502156
247	261.3274941
248	261.2064558
249	260.9723955
250	260.5651408
251	260.3515082
252	259.9845656
253	259.7723929
254	259.6550935
255	259.0782321
256	258.9796061
257	258.6081028
258	258.511796
259	258.2292535
260	257.8106021
261	257.7155208
262	257.4501092
263	257.3423105
264	256.9453201
265	256.6993611
266	256.5683157
267	256.2216451
268	256.0230397
269	255.5573404
270	255.1688844
271	254.6634031
272	254.5601658
273	254.1677192
274	253.9694671
275	253.4693567
276	253.1572686
277	253.0683724
278	252.9812876
279	252.8589481
280	252.4988767
281	252.3946076
282	251.9978994
283	251.6730715
284	251.5075238
285	251.2765976
286	251.1745243
287	250.900159
288	250.8176062
289	250.5358558
290	250.2848365
291	250.0933935
292	249.9664838
293	249.6808471
294	249.5629127
295	249.4435699
296	249.2494343
297	248.9472462
298	248.7979832
299	248.6327613
300	248.4119287
301	248.2416206
302	248.0284511
303	247.3982565
304	247.128682
305	246.7413247
306	246.6617081
307	246.1424543
308	245.8386028
309	245.6733231
310	245.3617185
311	245.2834244
312	245.0999178
313	244.8258035
314	244.5757388
315	244.3660804
316	244.2555588
317	243.8582922
318	243.4378315
319	243.2344421
320	243.1577733
321	243.0018296
322	242.9266742
323	242.7951293
324	242.4446382
325	242.1073547
326	241.9079485
327	241.6409357
328	241.4220528
329	241.3486782
330	241.2771402
331	240.951181
332	240.5208987
333	240.389539
334	240.1862831
335	240.0782131
336	239.6160694
337	239.5445129
338	239.1754836
339	238.9958187
340	238.7983298
341	238.7287421
342	238.5296035
343	238.4613848
344	238.1374132
345	237.8851115
346	237.7400209
347	237.3971835
348	237.2764399
349	236.9960093
350	236.8631092
351	236.6820847
352	236.4920524
353	236.4251783
354	236.1658851
355	236.0478593
356	235.962173
357	235.8099291
358	235.7261595
359	235.346281
360	235.247855
361	235.0898587
362	234.9776992
363	234.6914068
364	234.627579
365	234.565288
366	234.1217354
367	233.831636
368	233.6689742
369	233.4267602
370	233.2851163
371	233.2231943
372	232.9357139
373	232.8058085
374	232.7131142
375	232.5236343
376	232.367062
377	232.06502
378	231.9746113
379	231.6900216
380	231.6290759
381	231.0911888
382	230.9348307
383	230.8750578
384	230.566875
385	230.4691113
386	230.3290175
387	230.1197552
388	230.0609273
389	229.7597712
390	229.4429052
391	229.2780643
392	229.1499962
393	229.0467258
394	228.7996711
395	228.4732924
396	228.4166726
397	228.2669837
398	227.8222676
399	227.7578987
400	227.6128527
401	227.5575908
402	227.2478
403	226.927997
404	226.7654628
