iter	Passed	Remaining
0	143	143804
1	146	72966
2	149	49690
3	152	37946
4	154	30767
5	157	26052
6	160	22731
7	163	20244
8	165	18273
9	168	16730
10	171	15415
11	174	14390
12	177	13506
13	180	12731
14	183	12043
15	186	11454
16	188	10909
17	190	10418
18	193	9987
19	195	9575
20	197	9206
21	200	8933
22	203	8652
23	205	8366
24	208	8125
25	210	7883
26	213	7703
27	216	7519
28	218	7324
29	221	7152
30	223	6977
31	225	6816
32	228	6703
33	231	6572
34	233	6431
35	235	6304
36	237	6171
37	239	6050
38	242	5968
39	244	5865
40	246	5761
41	248	5661
42	249	5563
43	251	5470
44	253	5386
45	257	5341
46	260	5275
47	262	5198
48	263	5123
49	265	5049
50	267	4981
51	271	4945
52	273	4894
53	275	4831
54	277	4769
55	279	4713
56	281	4655
57	283	4602
58	286	4564
59	288	4518
60	290	4468
61	292	4422
62	294	4373
63	295	4328
64	298	4294
65	301	4266
66	303	4229
67	305	4187
68	307	4145
69	309	4106
70	310	4068
71	315	4064
72	318	4043
73	320	4013
74	322	3978
75	324	3944
76	326	3910
77	329	3890
78	331	3865
79	333	3838
80	335	3806
81	337	3775
82	339	3747
83	341	3722
84	344	3705
85	346	3682
86	348	3659
87	350	3632
88	352	3606
89	354	3580
90	356	3558
91	358	3540
92	361	3523
93	363	3499
94	364	3476
95	366	3452
96	368	3429
97	370	3409
98	373	3398
99	376	3384
100	378	3364
101	379	3345
102	381	3325
103	383	3307
104	386	3295
105	389	3283
106	391	3266
107	393	3247
108	394	3228
109	397	3213
110	399	3197
111	401	3186
112	404	3173
113	406	3157
114	408	3140
115	409	3123
116	412	3109
117	414	3096
118	416	3086
119	419	3072
120	420	3056
121	422	3042
122	424	3026
123	426	3014
124	429	3005
125	431	2993
126	433	2980
127	435	2966
128	437	2953
129	439	2940
130	441	2928
131	444	2920
132	447	2914
133	448	2900
134	450	2887
135	452	2874
136	454	2861
137	456	2850
138	458	2843
139	461	2834
140	463	2824
141	465	2813
142	467	2801
143	469	2790
144	472	2785
145	475	2779
146	477	2768
147	478	2755
148	480	2744
149	482	2733
150	484	2723
151	487	2718
152	489	2709
153	491	2699
154	493	2688
155	494	2677
156	496	2667
157	498	2658
158	502	2656
159	504	2649
160	506	2639
161	508	2629
162	510	2619
163	511	2609
164	514	2602
165	518	2603
166	520	2595
167	522	2586
168	524	2579
169	526	2570
170	528	2564
171	531	2557
172	533	2552
173	535	2542
174	537	2534
175	539	2525
176	541	2517
177	543	2510
178	547	2510
179	549	2503
180	551	2495
181	553	2485
182	554	2477
183	556	2470
184	560	2470
185	563	2464
186	565	2457
187	567	2449
188	568	2441
189	570	2433
190	572	2426
191	575	2422
192	577	2416
193	579	2408
194	581	2402
195	583	2394
196	585	2386
197	587	2381
198	590	2375
199	592	2368
200	594	2362
201	596	2354
202	597	2347
203	599	2340
204	602	2335
205	604	2329
206	606	2322
207	608	2315
208	609	2308
209	611	2300
210	613	2294
211	616	2290
212	618	2285
213	620	2280
214	622	2273
215	624	2267
216	626	2260
217	628	2254
218	631	2251
219	633	2245
220	635	2240
221	637	2234
222	639	2227
223	641	2220
224	643	2216
225	645	2212
226	648	2207
227	650	2201
228	651	2195
229	653	2188
230	655	2181
231	657	2177
232	660	2174
233	662	2169
234	664	2164
235	666	2158
236	668	2152
237	670	2146
238	672	2140
239	675	2138
240	677	2134
241	679	2128
242	681	2122
243	682	2116
244	684	2110
245	686	2104
246	689	2102
247	692	2098
248	694	2094
249	696	2089
250	698	2083
251	700	2078
252	703	2077
253	705	2072
254	707	2067
255	709	2062
256	711	2056
257	713	2050
258	714	2045
259	717	2042
260	720	2039
261	722	2034
262	723	2028
263	725	2022
264	727	2017
265	729	2013
266	732	2011
267	734	2007
268	736	2001
269	738	1996
270	740	1991
271	742	1986
272	744	1981
273	746	1978
274	749	1975
275	751	1970
276	753	1965
277	754	1960
278	756	1956
279	758	1951
280	761	1948
281	763	1944
282	766	1940
283	768	1936
284	770	1931
285	771	1926
286	774	1924
287	776	1920
288	778	1916
289	780	1911
290	782	1907
291	784	1902
292	786	1897
293	789	1895
294	791	1892
295	793	1887
296	795	1882
297	797	1877
298	798	1873
299	800	1868
300	803	1866
301	806	1863
302	808	1859
303	809	1854
304	811	1849
305	813	1844
306	815	1840
307	819	1840
308	821	1837
309	823	1833
310	825	1829
311	827	1824
312	829	1820
313	832	1817
314	834	1814
315	836	1810
316	838	1806
317	840	1801
318	841	1797
319	844	1793
320	847	1792
321	849	1789
322	851	1785
323	853	1781
324	855	1777
325	857	1773
326	860	1770
327	862	1767
328	865	1764
329	867	1760
330	868	1756
331	870	1752
332	873	1749
333	876	1747
334	878	1744
335	881	1742
336	883	1738
337	885	1734
338	888	1732
339	890	1729
340	892	1725
341	894	1721
342	896	1717
343	898	1713
344	900	1709
345	903	1707
346	905	1704
347	908	1701
348	909	1697
349	911	1692
350	913	1688
351	915	1684
352	917	1682
353	919	1678
354	921	1674
355	923	1670
356	925	1666
357	927	1662
358	929	1659
359	932	1657
360	934	1653
361	936	1650
362	938	1646
363	939	1642
364	941	1638
365	943	1635
366	946	1633
367	948	1629
368	951	1626
369	952	1622
370	954	1618
371	956	1614
372	958	1610
373	961	1609
374	963	1606
375	965	1602
376	967	1598
377	969	1594
378	971	1591
379	973	1588
380	975	1585
381	978	1582
382	979	1578
383	981	1574
384	983	1571
385	985	1567
386	989	1567
387	991	1563
388	994	1562
389	997	1559
390	1000	1558
391	1004	1557
392	1006	1554
393	1008	1551
394	1011	1549
395	1014	1546
396	1015	1542
397	1017	1539
398	1019	1535
399	1021	1531
400	1023	1529
401	1026	1526
402	1028	1523
403	1030	1520
404	1032	1516
405	1034	1513
406	1036	1509
407	1038	1507
408	1041	1505
409	1043	1501
410	1045	1497
411	1046	1494
412	1048	1490
413	1050	1487
414	1053	1484
415	1055	1482
416	1057	1479
417	1059	1475
418	1061	1471
419	1063	1468
